,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
254,Q2 2011,7229.0,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,237710309.0,2011/5/20,2011/6/30,Q2,2011
423,Q2 2011,7226.0,Transformers: Dark of the Moon,DreamWorks,352390543.0,2011/6/29,2011/6/30,Q2,2011
145,Q3 2011,7225.0,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,381011219.0,2011/7/15,2011/9/30,Q3,2011
329,Q2 2012,7854.0,The Avengers,Walt Disney Studios Motion Pictures,623357910.0,2012/5/4,2012/6/30,Q2,2012
355,Q4 2012,7861.0,The Hobbit: An Unexpected Journey,Warner Bros.,303003568.0,2012/12/14,2012/12/31,Q4,2012
293,Q4 2012,7857.0,Skyfall,Sony Pictures Releasing,304164760.0,2012/11/9,2012/12/31,Q4,2012
358,Q1 2012,7856.0,The Hunger Games,Lionsgate,408010692.0,2012/3/23,2012/3/31,Q1,2012
342,Q3 2012,7855.0,The Dark Knight Rises,Warner Bros.,448139099.0,2012/7/20,2012/9/30,Q3,2012
91,Q3 2013,8563.0,Despicable Me 2,Universal Pictures,368065385.0,2013/7/3,2013/9/30,Q3,2013
210,Q2 2013,8564.0,Man of Steel,Warner Bros.,291045518.0,2013/6/14,2013/6/30,Q2,2013
121,Q4 2013,8566.0,Frozen,Walt Disney Studios Motion Pictures,400227936.0,2013/11/22,2013/12/31,Q4,2013
359,Q4 2013,8562.0,The Hunger Games: Catching Fire,Lionsgate,424668047.0,2013/11/22,2013/12/31,Q4,2013
179,Q2 2013,8561.0,Iron Man 3,Walt Disney Studios Motion Pictures,406609688.0,2013/5/3,2013/6/30,Q2,2013
137,Q3 2014,9266.0,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600.0,2014/8/1,2014/9/30,Q3,2014
360,Q4 2014,9267.0,The Hunger Games: Mockingjay - Part 1,Lionsgate,337135885.0,2014/11/21,2014/12/31,Q4,2014
367,Q1 2014,9268.0,The Lego Movie,Warner Bros.,257760692.0,2014/2/7,2014/3/31,Q1,2014
68,Q2 2014,9269.0,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,255447104.0,2014/4/4,2014/6/30,Q2,2014
21,Q4 2014,9484.0,American Sniper,Warner Bros.,350126372.0,2014/12/25,2014/12/31,Q4,2014
34,Q2 2015,10016.0,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,459005868.0,2015/5/1,2015/6/30,Q2,2015
314,Q4 2015,10015.0,Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,936660090.0,2015/12/18,2015/12/31,Q4,2015
189,Q2 2015,10014.0,Jurassic World,Universal Pictures,652270625.0,2015/6/12,2015/6/30,Q2,2015
122,Q2 2015,10018.0,Furious 7,Universal Pictures,353007020.0,2015/4/3,2015/6/30,Q2,2015
174,Q2 2015,10017.0,Inside Out,Walt Disney Studios Motion Pictures,356461711.0,2015/6/19,2015/6/30,Q2,2015
364,Q2 2016,10724.0,The Jungle Book,Walt Disney Studios Motion Pictures,364001123.0,2016/4/15,2016/6/30,Q2,2016
399,Q3 2016,10723.0,The Secret Life of Pets,Universal Pictures,368384330.0,2016/7/8,2016/9/30,Q3,2016
268,Q4 2016,10721.0,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,532177324.0,2016/12/16,2016/12/31,Q4,2016
113,Q2 2016,10720.0,Finding Dory,Walt Disney Studios Motion Pictures,486295561.0,2016/6/17,2016/6/30,Q2,2016
66,Q2 2016,10722.0,Captain America: Civil War,Walt Disney Studios Motion Pictures,408084349.0,2016/5/6,2016/6/30,Q2,2016
138,Q2 2017,11462.0,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,389813101.0,2017/5/5,2017/6/30,Q2,2017
50,Q1 2017,11460.0,Beauty and the Beast,Walt Disney Studios Motion Pictures,504014165.0,2017/3/17,2017/3/31,Q1,2017
185,Q4 2017,11476.0,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480.0,2017/12/20,2017/12/31,Q4,2017
443,Q2 2017,11461.0,Wonder Woman,Warner Bros.,412563408.0,2017/6/2,2017/6/30,Q2,2017
315,Q4 2017,11459.0,Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,620181382.0,2017/12/15,2017/12/31,Q4,2017
190,Q2 2018,12236.0,Jurassic World: Fallen Kingdom,Universal Pictures,417719760.0,2018/6/22,2018/6/30,Q2,2018
56,Q1 2018,12233.0,Black Panther,Walt Disney Studios Motion Pictures,700059566.0,2018/2/16,2018/3/31,Q1,2018
35,Q2 2018,12234.0,Avengers: Infinity War,Walt Disney Studios Motion Pictures,678815482.0,2018/4/27,2018/6/30,Q2,2018
363,Q2 2018,12235.0,The Incredibles 2,Walt Disney Studios Motion Pictures,608581744.0,2018/6/15,2018/6/30,Q2,2018
28,Q4 2018,12245.0,Aquaman,Warner Bros.,335061807.0,2018/12/21,2018/12/31,Q4,2018
