season,Unnamed: 0,movie,studio,gross,release,time
Q3 1992,261,"Honey, I Blew Up the Kid",Walt Disney Studios Motion Pictures,58662452,1992/7/17,1992/9/30
Q1 2008,5431,Horton Hears a Who!,Twentieth Century Fox,154466039,2008/3/14,2008/3/31
Q3 2016,10966,Hotel Transylvania 2,Sony Pictures Releasing,169700110,2016/9/25,2016/9/30
Q2 1992,267,HouseSitter,Universal Pictures,58500635,1992/6/12,1992/6/30
Q4 2000,1314,How the Grinch Stole Christmas,Universal Pictures,260044825,2000/11/17,2000/12/31
Q1 2010,6639,How to Train Your Dragon,DreamWorks,217581231,2010/3/26,2010/3/31
Q4 2007,4754,I Am Legend,Warner Bros.,256393010,2007/12/14,2007/12/31
Q3 2004,2940,"I, Robot",Twentieth Century Fox,144763065,2004/7/16,2004/9/30
Q1 2002,1905,Ice Age,Twentieth Century Fox,176387405,2002/3/15,2002/3/31
Q3 2012,7867,Ice Age: Continental Drift,Twentieth Century Fox,161321843,2012/7/13,2012/9/30
Q3 2009,6062,Ice Age: Dawn of the Dinosaurs,Twentieth Century Fox,196472300,2009/7/1,2009/9/30
Q1 2006,4107,Ice Age: The Meltdown,Twentieth Century Fox,195306682,2006/3/31,2006/3/31
Q3 1993,326,In the Line of Fire,Columbia Pictures,102314823,1993/7/9,1993/9/30
Q3 2010,6635,Inception,Warner Bros.,292576195,2010/7/16,2010/9/30
Q3 1996,625,Independence Day,Twentieth Century Fox,306169268,1996/7/3,1996/9/30
Q2 2008,5422,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,317101119,2008/5/22,2008/6/30
Q2 1989,1,Indiana Jones and the Last Crusade,Paramount Pictures,197171806,1989/5/24,1989/6/30
Q2 2015,10017,Inside Out,Walt Disney Studios Motion Pictures,356461711,2015/6/19,2015/6/30
Q4 2015,10154,Interstellar,Paramount Pictures,188020017,2015/11/5,2015/12/31
Q4 1994,412,Interview with the Vampire: The Vampire Chronicles,Warner Bros.,105264608,1994/11/11,1994/12/31
Q2 2008,5423,Iron Man,Paramount Pictures,318604126,2008/5/2,2008/6/30
Q2 2010,6633,Iron Man 2,Paramount Pictures,312433331,2010/5/7,2010/6/30
Q2 2013,8561,Iron Man 3,Walt Disney Studios Motion Pictures,406609688,2013/5/3,2013/6/30
Q3 2017,11464,It,Warner Bros.,327481748,2017/9/8,2017/9/30
Q4 1996,634,Jerry Maguire,Sony Pictures Releasing,153952592,1996/12/13,1996/12/31
Q4 1991,158,JFK,Warner Bros.,70405498,1991/12/20,1991/12/31
Q1 1990,101,Joe Versus the Volcano,Warner Bros.,39404261,1990/3/9,1990/3/31
Q4 1995,527,Jumanji,Sony Pictures Releasing,100475249,1995/12/15,1995/12/31
Q4 2017,11476,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,2017/12/20,2017/12/31
Q4 2007,4829,Juno,Fox Searchlight Pictures,143454918,2007/12/5,2007/12/31
Q2 1993,323,Jurassic Park,Universal Pictures,357067947,1993/6/11,1993/6/30
Q3 2001,1623,Jurassic Park III,Universal Pictures,181171875,2001/7/18,2001/9/30
Q2 2015,10014,Jurassic World,Universal Pictures,652270625,2015/6/12,2015/6/30
Q2 2018,12236,Jurassic World: Fallen Kingdom,Universal Pictures,417719760,2018/6/22,2018/6/30
Q4 2017,11469,Justice League,Warner Bros.,229024295,2017/11/17,2017/12/31
Q4 1990,79,Kindergarten Cop,Universal Pictures,91457688,1990/12/22,1990/12/31
Q4 2005,3539,King Kong,Universal Pictures,218080025,2005/12/14,2005/12/31
Q2 2007,4757,Knocked Up,Universal Pictures,148768917,2007/6/1,2007/6/30
Q2 2008,5426,Kung Fu Panda,DreamWorks,215434591,2008/6/6,2008/6/30
Q2 1993,331,Last Action Hero,Columbia Pictures,50016394,1993/6/18,1993/6/30
Q4 1994,486,Legends of the Fall,Sony Pictures Releasing,66638883,1994/12/23,1994/12/31
Q3 1998,916,Lethal Weapon 4,Warner Bros.,130444603,1998/7/10,1998/9/30
Q1 1997,741,Liar Liar,Universal Pictures,181410615,1997/3/21,1997/3/31
Q2 2002,1910,Lilo & Stitch,Walt Disney Studios Motion Pictures,145794338,2002/6/21,2002/6/30
Q4 2012,7872,Lincoln,Walt Disney Studios Motion Pictures,181591780,2012/11/9,2012/12/31
Q2 2007,4760,Live Free or Die Hard,Twentieth Century Fox,134529403,2007/6/27,2007/6/30
Q1 2017,11467,Logan,Twentieth Century Fox,226258569,2017/3/3,2017/3/31
Q2 2005,3536,Madagascar,DreamWorks Distribution,193595521,2005/5/27,2005/6/30
Q2 2012,7863,Madagascar 3: Europe's Most Wanted,DreamWorks,216391482,2012/6/8,2012/6/30
Q4 2008,5427,Madagascar: Escape 2 Africa,DreamWorks,180010950,2008/11/7,2008/12/31
Q4 1992,244,Malcolm X,Warner Bros.,48169910,1992/11/20,1992/12/31
Q2 2014,9271,Maleficent,Walt Disney Studios Motion Pictures,241410378,2014/5/30,2014/6/30
Q3 2008,5432,Mamma Mia!,Universal Pictures,144130063,2008/7/18,2008/9/30
Q2 2013,8564,Man of Steel,Warner Bros.,291045518,2013/6/14,2013/6/30
Q4 2008,5458,Marley & Me,Twentieth Century Fox,143146360,2008/12/25,2008/12/31
Q2 1994,437,Maverick,Warner Bros.,101631272,1994/5/20,1994/6/30
Q4 2004,2942,Meet the Fockers,Universal Pictures,279261160,2004/12/22,2004/12/31
Q4 2000,1318,Meet the Parents,Universal Pictures,166244045,2000/10/6,2000/12/31
Q3 1997,739,Men in Black,Sony Pictures Releasing,250690539,1997/7/2,1997/9/30
Q2 2012,7865,Men in Black 3,Sony Pictures Releasing,179020854,2012/5/25,2012/6/30
Q3 2002,1904,Men in Black II,Sony Pictures Releasing,190418803,2002/7/3,2002/9/30
Q4 1990,85,Mermaids,Orion Pictures,35419397,1990/12/14,1990/12/31
Q4 1996,643,Michael,New Line Cinema,95318203,1996/12/25,1996/12/31
Q3 2015,10020,Minions,Universal Pictures,336045770,2015/7/10,2015/9/30
Q4 1990,77,Misery,Columbia Pictures,61276872,1990/11/30,1990/12/31
Q2 1996,626,Mission: Impossible,Paramount Pictures,180981856,1996/5/22,1996/6/30
Q3 2018,12240,Mission: Impossible - Fallout,Paramount Pictures,220159104,2018/7/27,2018/9/30
Q4 2011,7245,Mission: Impossible - Ghost Protocol,Paramount Pictures,209397903,2011/12/16,2011/12/31
Q3 2015,10025,Mission: Impossible - Rogue Nation,Paramount Pictures,195042377,2015/7/31,2015/9/30
Q2 2000,1315,Mission: Impossible II,Paramount Pictures,215409889,2000/5/24,2000/6/30
Q2 2006,4113,Mission: Impossible III,Paramount Pictures,134029801,2006/5/5,2006/6/30
Q4 1989,35,Mississippi Burning,Orion Pictures,34603943,1989/12/9,1989/12/31
Q4 2016,10732,Moana,Walt Disney Studios Motion Pictures,248757044,2016/11/23,2016/12/31
Q2 2013,8565,Monsters University,Walt Disney Studios Motion Pictures,268492764,2013/6/21,2013/6/30
Q1 2009,6060,Monsters vs. Aliens,DreamWorks,198351526,2009/3/27,2009/3/31
Q4 2001,1619,"Monsters, Inc.",Walt Disney Studios Motion Pictures,255284677,2001/11/2,2001/12/31
Q2 2005,3537,Mr. & Mrs. Smith,Twentieth Century Fox,186283815,2005/6/10,2005/6/30
Q4 1995,621,Mr. Holland's Opus,Walt Disney Studios Motion Pictures,82569971,1995/12/29,1995/12/31
Q4 1993,325,Mrs. Doubtfire,Twentieth Century Fox,219195243,1993/11/24,1993/12/31
Q2 1998,911,Mulan,Walt Disney Studios Motion Pictures,120620254,1998/6/19,1998/6/30
