,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
402,Q3 1999,1020.0,The Sixth Sense,Walt Disney Studios Motion Pictures,293506292.0,1999/8/6,1999/9/30,Q3,1999
419,Q4 1999,1021.0,Toy Story 2,Walt Disney Studios Motion Pictures,242947795.0,1999/11/19,1999/12/31,Q4,1999
161,Q4 2000,1314.0,How the Grinch Stole Christmas,Universal Pictures,260044825.0,2000/11/17,2000/12/31,Q4,2000
226,Q2 2000,1315.0,Mission: Impossible II,Paramount Pictures,215409889.0,2000/5/24,2000/6/30,Q2,2000
447,Q3 2000,1319.0,X-Men,Twentieth Century Fox,157299718.0,2000/7/14,2000/9/30,Q3,2000
126,Q2 2000,1316.0,Gladiator,DreamWorks Distribution,187705427.0,2000/5/5,2000/6/30,Q2,2000
73,Q4 2000,1331.0,Cast Away,Twentieth Century Fox,233632142.0,2000/12/22,2000/12/31,Q4,2000
440,Q4 2000,1327.0,What Women Want,Paramount Pictures,182811707.0,2000/12/15,2000/12/31,Q4,2000
323,Q2 2000,1526.0,Tarzan,Walt Disney Studios Motion Pictures,171091819.0,2000/6/16,2000/6/30,Q2,2000
214,Q4 2000,1318.0,Meet the Parents,Universal Pictures,166244045.0,2000/10/6,2000/12/31,Q4,2000
387,Q2 2000,1317.0,The Perfect Storm,Warner Bros.,182618434.0,2000/6/30,2000/6/30,Q2,2000
274,Q3 2000,1321.0,Scary Movie,Miramax,157019771.0,2000/7/7,2000/9/30,Q3,2000
272,Q3 2001,1620.0,Rush Hour 2,New Line Cinema,226164286.0,2001/8/3,2001/9/30,Q3,2001
251,Q2 2001,1622.0,Pearl Harbor,Walt Disney Studios Motion Pictures,198542554.0,2001/5/25,2001/6/30,Q2,2001
245,Q4 2001,1628.0,Ocean's Eleven,Warner Bros.,183417150.0,2001/12/7,2001/12/31,Q4,2001
383,Q2 2001,1621.0,The Mummy Returns,Universal Pictures,202019785.0,2001/5/4,2001/6/30,Q2,2001
257,Q3 2001,1625.0,Planet of the Apes,Twentieth Century Fox,180011740.0,2001/7/27,2001/9/30,Q3,2001
373,Q4 2001,1624.0,The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,313364114.0,2001/12/19,2001/12/31,Q4,2001
232,Q4 2001,1619.0,"Monsters, Inc.",Walt Disney Studios Motion Pictures,255284677.0,2001/11/2,2001/12/31,Q4,2001
150,Q4 2001,1617.0,Harry Potter and the Sorcerer's Stone,Warner Bros.,317575550.0,2001/11/16,2001/12/31,Q4,2001
286,Q2 2001,1618.0,Shrek,DreamWorks Distribution,267665011.0,2001/5/16,2001/6/30,Q2,2001
188,Q3 2001,1623.0,Jurassic Park III,Universal Pictures,181171875.0,2001/7/18,2001/9/30,Q3,2001
375,Q4 2002,1902.0,The Lord of the Rings: The Two Towers,New Line Cinema,339785181.0,2002/12/18,2002/12/31,Q4,2002
143,Q4 2002,1900.0,Harry Potter and the Chamber of Secrets,Warner Bros.,261988482.0,2002/11/15,2002/12/31,Q4,2002
165,Q1 2002,1905.0,Ice Age,Twentieth Century Fox,176387405.0,2002/3/15,2002/3/31,Q1,2002
311,Q2 2002,1899.0,Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,302191252.0,2002/5/16,2002/6/30,Q2,2002
300,Q2 2002,1898.0,Spider-Man,Sony Pictures Releasing,403706375.0,2002/5/3,2002/6/30,Q2,2002
77,Q4 2002,2074.0,Chicago,Miramax,169508422.0,2002/12/27,2002/12/31,Q4,2002
237,Q2 2002,1948.0,My Big Fat Greek Wedding,IFC Films,240742368.0,2002/4/19,2002/6/30,Q2,2002
290,Q3 2002,1901.0,Signs,Walt Disney Studios Motion Pictures,227647707.0,2002/8/2,2002/9/30,Q3,2002
217,Q3 2002,1904.0,Men in Black II,Sony Pictures Releasing,190418803.0,2002/7/3,2002/9/30,Q3,2002
31,Q3 2002,1903.0,Austin Powers in Goldmember,New Line Cinema,213307889.0,2002/7/26,2002/9/30,Q3,2002
42,Q3 2003,2356.0,Bad Boys II,Sony Pictures Releasing,138608444.0,2003/7/18,2003/9/30,Q3,2003
452,Q3 2003,2697.0,xXx,Revolution Studios,142109382.0,2003/8/9,2003/9/30,Q3,2003
451,Q2 2003,2354.0,X2: X-Men United,Twentieth Century Fox,214946072.0,2003/5/2,2003/6/30,Q2,2003
325,Q3 2003,2355.0,Terminator 3: Rise of the Machines,Warner Bros.,150358296.0,2003/7/2,2003/9/30,Q3,2003
